,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
81,Kirk Cousins,MIN,QB,31,15,15,307,444,3603,6,31,63,1,0,0,0,10,3,3603,26,444,63,1,31,0,0,242.42
82,Ryan Fitzpatrick,MIA,QB,37,15,13,311,502,3529,13,54,243,0,0,0,0,9,2,3529,20,502,243,4,54,0,0,239.46
83,Philip Rivers,LAC,QB,38,16,16,390,591,4615,20,12,29,0,0,0,0,8,3,4615,23,591,29,0,12,0,0,233.5
84,Baker Mayfield,CLE,QB,24,16,16,317,534,3827,21,28,141,0,0,0,0,6,2,3827,22,534,141,3,28,0,0,227.18
85,Gardner Minshew,JAX,QB,23,14,12,285,470,3271,6,67,344,0,0,0,0,13,7,3271,21,470,344,0,67,0,0,223.24
86,Drew Brees,NOR,QB,40,11,11,281,378,2979,4,9,-4,0,0,0,0,0,0,2979,27,378,-4,1,9,0,0,224.76
87,Ryan Tannehill,TEN,QB,31,12,10,201,286,2742,6,43,185,0,0,0,0,6,3,2742,22,286,185,4,43,0,0,222.18
88,Jacoby Brissett,IND,QB,27,15,15,272,447,2942,6,56,228,1,1,2,2,7,5,2942,18,447,228,4,56,2,0,215.68
89,Daniel Jones,NYG,QB,22,13,12,284,459,3027,12,45,279,0,0,0,0,18,11,3027,24,459,279,2,45,0,0,210.98
90,Andy Dalton,CIN,QB,32,13,13,314,528,3494,14,32,73,1,1,-4,-4,8,4,3494,16,528,73,4,32,-4,0,199.66
91,Mitchell Trubisky,CHI,QB,25,15,15,326,516,3138,10,48,193,0,0,0,0,5,2,3138,17,516,193,2,48,0,0,200.82
92,Sam Darnold,NYJ,QB,22,13,13,273,441,3024,13,33,62,0,0,0,0,11,3,3024,19,441,62,2,33,0,0,183.16
93,Kyle Allen,CAR,QB,23,13,12,303,489,3322,16,32,106,0,0,0,0,13,7,3322,17,489,106,2,32,0,0,177.48
94,Matthew Stafford,DET,QB,31,8,8,187,291,2499,5,20,66,0,0,0,0,5,3,2499,19,291,66,0,20,0,0,166.56
95,Devonta Freeman,ATL,RB,27,14,14,0,0,0,0,184,656,70,59,410,6.95,3,2,0,0,0,656,2,184,410,4,197.6
96,Melvin Gordon,LAC,RB,26,12,11,0,0,0,0,162,612,55,42,296,7.05,4,3,0,0,0,612,8,162,296,1,180.8
97,Ronald Jones,TAM,RB,22,16,9,0,0,0,0,172,724,40,31,309,9.97,3,2,0,0,0,724,6,172,309,0,166.3
98,Adrian Peterson,WAS,RB,34,15,15,0,0,0,0,211,898,23,17,142,8.35,3,2,0,0,0,898,5,211,142,0,147
99,D.K. Metcalf,SEA,WR,22,16,15,0,0,0,0,2,11,100,58,900,15.52,3,3,0,0,0,11,0,2,900,7,185.1
100,James White,NWE,RB,27,15,1,1,1,35,0,67,263,95,72,645,8.96,1,1,35,0,1,263,1,67,645,5,198.2
101,Odell Beckham,CLE,WR,27,16,15,1,2,20,0,3,10,133,74,1035,13.99,1,1,20,0,2,10,0,3,1035,4,201.3
102,Emmanuel Sanders,2TM,WR,32,17,16,1,1,35,0,0,0,97,66,869,13.17,0,0,35,1,1,0,0,0,869,5,188.3
103,Latavius Murray,NOR,RB,29,16,8,0,0,0,0,146,637,43,34,235,6.91,0,0,0,0,0,637,5,146,235,1,157.2
104,Darius Slayton,NYG,WR,22,14,9,0,0,0,0,0,0,84,48,740,15.42,0,0,0,0,0,0,0,0,740,8,170
105,Jamison Crowder,NYJ,WR,26,16,12,0,0,0,0,1,4,122,78,833,10.68,0,0,0,0,0,4,0,1,833,6,197.7
106,Devin Singletary,BUF,RB,22,12,8,0,0,0,0,151,775,41,29,194,6.69,4,1,0,0,0,775,2,151,194,2,147.9
